
NOTICE: Existing SQLite export found: ./report_1.sqlite
        It is assumed file was previously exported from: ./report_1.nsys-rep
        Consider using --force-export=true if needed.

Processing [./report_1.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/23.9/profilers/Nsight_Systems/host-linux-x64/reports/cuda_gpu_sum.py](start=15660000000:end=52500000000)... 

 ** CUDA GPU Summary (Kernels/MemOps) (cuda_gpu_sum):

 Time (%)  Total Time (us)  Instances   Avg (us)    Med (us)    Min (us)    Max (us)   StdDev (us)   Category                                                 Operation                                              
 --------  ---------------  ---------  ----------  ----------  ----------  ----------  -----------  -----------  ----------------------------------------------------------------------------------------------------
     16.0   23,051,005.520     14,400   1,600.764   1,540.457   1,379.272   7,841.095      447.410  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_tn                                         
     11.4   16,334,517.720     12,288   1,329.306   1,221.545     934.600  60,046.442    1,200.454  CUDA_KERNEL  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
      9.7   13,941,067.091     10,240   1,361.432   1,234.538   1,228.843   1,602.542      158.247  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_nt                                         
      6.1    8,781,935.022      6,144   1,429.351   1,470.636   1,235.019   1,610.318      141.137  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_nn                                         
      5.3    7,625,074.441      4,160   1,832.951   1,859.024      75.233   1,922.188      219.834  CUDA_KERNEL  void at::native::<unnamed>::fused_dropout_kernel_vec<c10::Half, float, unsigned int, (int)1, (int)4…
      5.0    7,208,116.323      6,144   1,173.196   1,172.743   1,169.898   1,183.402        2.215  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_nn                                         
      4.9    7,077,897.560      6,144   1,152.002   1,155.147   1,140.711   1,165.355        5.839  CUDA_KERNEL  void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x256_32x4_tn_align8>(T1::Params) 
      4.7    6,724,553.674      8,256     814.505     746.262     420.420   7,255.458      623.774  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nt                                         
      4.5    6,498,943.217      4,096   1,586.656   1,601.065   1,505.294   1,610.250       28.884  CUDA_KERNEL  void at::native::tensor_kernel_scan_outer_dim<long, std::plus<long>>(T1 *, const T1 *, unsigned int…
      3.9    5,590,956.673      8,192     682.490     772.808     401.251     784.069      158.392  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn                                         
      3.4    4,893,419.023      4,096   1,194.682   1,194.759   1,192.267   1,200.587        0.757  CUDA_KERNEL  void <unnamed>::scaled_upper_triang_masked_softmax_warp_forward<c10::Half, c10::Half, float, (int)1…
      2.9    4,177,402.083      4,096   1,019.874   1,019.816   1,011.110   1,030.920        2.773  CUDA_KERNEL  CudaCodeGen::kernel3(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)1>, CudaCodeGen::Tensor<CudaCode…
      2.4    3,473,320.381      2,048   1,695.957   1,695.818   1,693.487   1,703.439        0.987  CUDA_KERNEL  void <unnamed>::scaled_upper_triang_masked_softmax_warp_backward<c10::Half, c10::Half, float, (int)…
      2.4    3,447,172.939      6,208     555.279      64.513      61.185   1,557.802      700.177  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_ker…
      2.1    3,075,909.177     11,860     259.351     314.082       3.968   2,032.844      175.267  CUDA_KERNEL  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      1.5    2,191,260.384     14,528     150.830      97.984      94.561     289.699       85.792  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      1.5    2,185,509.393     16,384     133.393      91.313      83.968     268.259       77.057  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      1.5    2,157,945.394     12,416     173.804     154.706       2.016   2,154.477      215.715  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      1.2    1,793,246.328      4,096     437.804     438.531     428.804     448.356        3.998  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_tn                                         
      1.2    1,690,085.109     21,668      77.999      66.689       3.872   2,050.225      144.287  CUDA_KERNEL  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
