
NOTICE: Existing SQLite export found: ./report_1.sqlite
        It is assumed file was previously exported from: ./report_1.nsys-rep
        Consider using --force-export=true if needed.

Processing [./report_1.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/23.9/profilers/Nsight_Systems/host-linux-x64/reports/cuda_gpu_sum.py](start=24790000000:end=25480000000)... 

 ** CUDA GPU Summary (Kernels/MemOps) (cuda_gpu_sum):

 Time (%)  Total Time (us)  Instances  Avg (us)   Med (us)   Min (us)   Max (us)   StdDev (us)   Category                                                 Operation                                              
 --------  ---------------  ---------  ---------  ---------  ---------  ---------  -----------  -----------  ----------------------------------------------------------------------------------------------------
     23.5      636,440.243        384  1,657.397  1,557.533  1,381.484  7,834.216      653.426  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_tn                                         
     11.9      322,568.302        256  1,260.032  1,234.409    942.697  2,525.135      229.085  CUDA_KERNEL  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
      8.8      238,164.986        128  1,860.664  1,859.166  1,846.476  1,908.844       10.220  CUDA_KERNEL  void at::native::<unnamed>::fused_dropout_kernel_vec<c10::Half, float, unsigned int, (int)1, (int)4…
      7.5      203,253.688        128  1,587.919  1,603.005  1,537.262  1,609.226       28.511  CUDA_KERNEL  void at::native::tensor_kernel_scan_outer_dim<long, std::plus<long>>(T1 *, const T1 *, unsigned int…
      5.8      157,855.718        128  1,233.248  1,232.904  1,231.016  1,236.746        1.452  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_nt                                         
      5.6      151,722.847        127  1,194.668  1,194.695  1,192.939  1,196.359        0.780  CUDA_KERNEL  void <unnamed>::scaled_upper_triang_masked_softmax_warp_forward<c10::Half, c10::Half, float, (int)1…
      5.5      150,186.892        128  1,173.335  1,172.695  1,170.279  1,176.809        2.036  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_nn                                         
      5.3      144,474.434        125  1,155.795  1,155.755  1,153.032  1,158.058        1.094  CUDA_KERNEL  void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x256_32x4_tn_align8>(T1::Params) 
      4.8      130,339.579        128  1,018.278  1,018.217  1,011.942  1,024.649        2.256  CUDA_KERNEL  CudaCodeGen::kernel3(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)1>, CudaCodeGen::Tensor<CudaCode…
      3.7       99,083.034        128    774.086    773.959    769.094    782.277        2.231  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn                                         
      3.1       83,180.240        256    324.923    324.884    312.771    336.835       10.979  CUDA_KERNEL  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      2.5       67,224.267        508    132.331     90.705     84.033    267.299       76.506  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      2.3       61,674.020        384    160.609     98.145     95.457    289.026       90.032  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      2.1       55,936.776        128    437.006    438.228    429.316    448.356        4.238  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_tn                                         
      1.5       42,049.469        128    328.512    328.579    327.524    329.634        0.379  CUDA_KERNEL  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      1.5       39,800.261        256    155.470    154.929      3.136    308.963      152.583  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      0.9       23,452.389        512     45.805     35.456      3.872    108.673       44.220  CUDA_KERNEL  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.8       21,954.082        256     85.758     85.664     83.713     88.801        0.814  CUDA_KERNEL  void cuApplyLayerNorm<c10::Half, float, c10::Half>(T3 *, T2 *, T2 *, const T1 *, int, int, T2, cons…
      0.6       16,974.335        128    132.612    132.513    131.328    134.401        0.641  CUDA_KERNEL  ampere_sgemm_32x32_sliced1x4_tn                                                                     
      0.5       12,841.821        128    100.327    100.353     99.361    101.377        0.426  CUDA_KERNEL  void at::native::sbtopk::gatherTopK<float, unsigned int, (int)2, (bool)0>(at::cuda::detail::TensorI…
