Processing [./report_2.sqlite] with [/opt/nvidia/nsight-systems/2024.1.1/host-linux-x64/reports/cuda_gpu_sum.py](start=3730000000:end=12500000000)... 

 ** CUDA GPU Summary (Kernels/MemOps) (cuda_gpu_sum):

 Time (%)  Total Time (us)  Instances  Avg (us)   Med (us)   Min (us)   Max (us)   StdDev (us)   Category                                                 Operation                                              
 --------  ---------------  ---------  ---------  ---------  ---------  ---------  -----------  -----------  ----------------------------------------------------------------------------------------------------
     14.7      4918341.962       2312   2127.311   2080.880   1630.445   4932.389      312.180  CUDA_KERNEL  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
     11.4      3835423.658       5016    764.638    830.351    277.216   1141.097      340.656  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_tn                                         
      9.7      3251691.060       3460    939.795    974.594    740.097   1070.408      107.040  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn                                         
      9.3      3105432.030       4260    728.975    763.542    261.761   5847.311      528.153  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nt                                         
      5.2      1741369.204       1576   1104.930    997.553    986.207   6320.819      738.916  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_tn                                         
      5.0      1692848.059       2312    732.201    732.513    722.246    741.541        2.560  CUDA_KERNEL  ampere_fp16_s1688gemm_fp16_256x128_ldg8_f2f_stages_32x1_tn                                          
      4.2      1424630.813       1580    901.665    919.493     60.480    954.792      128.562  CUDA_KERNEL  void at::native::<unnamed>::fused_dropout_kernel_vec<c10::Half, float, unsigned int, (int)1, (int)4…
      3.7      1245110.325        772   1612.837   1600.560   1586.369   1667.117       28.562  CUDA_KERNEL  void at::native::tensor_kernel_scan_outer_dim<long, std::plus<long>>(T1 *, const T1 *, unsigned int…
      3.4      1138693.811       3080    369.706    402.017    265.280    412.864       58.316  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn                                         
