Processing [./report_3.sqlite] with [/opt/nvidia/nsight-systems/2024.1.1/host-linux-x64/reports/cuda_gpu_sum.py](start=510000000:end=13880000000)... 

 ** CUDA GPU Summary (Kernels/MemOps) (cuda_gpu_sum):

 Time (%)  Total Time (us)  Instances  Avg (us)   Med (us)   Min (us)   Max (us)   StdDev (us)   Category                                                 Operation                                              
 --------  ---------------  ---------  ---------  ---------  ---------  ---------  -----------  -----------  ----------------------------------------------------------------------------------------------------
     13.1      5798151.155       5280   1098.135   1072.915    678.622   9994.249      384.846  CUDA_KERNEL  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
      7.0      3092713.460       3420    904.302    918.595     30.336    956.579      116.900  CUDA_KERNEL  void at::native::<unnamed>::fused_dropout_kernel_vec<c10::Half, float, unsigned int, (int)1, (int)4…
      7.0      3086234.700       5280    584.514    584.895    571.969    590.399        2.465  CUDA_KERNEL  ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_tn                                                       
      6.0      2683572.404       1680   1597.365   1596.272   1585.148   1609.381        6.262  CUDA_KERNEL  void at::native::tensor_kernel_scan_outer_dim<long, std::plus<long>>(T1 *, const T1 *, unsigned int…
      4.7      2099429.523       6560    320.035    202.687     78.111   2935.431      340.467  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nt                                         
      4.6      2027176.268       3360    603.326    603.326    601.950    604.866        0.400  CUDA_KERNEL  void <unnamed>::scaled_upper_triang_masked_softmax_warp_forward<c10::Half, c10::Half, float, (int)1…
      4.5      2006970.458       6480    309.718    274.977     73.760    510.466      181.078  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn                                         
      4.3      1889528.989       5280    357.865    357.919    346.048    369.631        3.542  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_64x128_sliced1x2_ldg8_f2f_stages_64x3_nn                                
      4.2      1855975.864       6720    276.187    274.928    263.648    294.113        8.704  CUDA_KERNEL  void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_tn_align8>(T1::Params)
      3.9      1711011.502       7740    221.061    214.975     74.368   3306.937      311.159  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_tn                                         
      3.7      1637397.421       1920    852.811    852.606    850.723    857.982        1.119  CUDA_KERNEL  void <unnamed>::scaled_upper_triang_masked_softmax_warp_backward<c10::Half, c10::Half, float, (int)…
      3.6      1593522.148       5840    272.863     27.008     23.712    781.023      352.640  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_ker…
      3.1      1391289.720      14150     98.324      9.824      1.728   2032.059      197.584  CUDA_KERNEL  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      2.4      1079744.967       7900    136.677     40.864     37.920    495.169      185.499  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      2.3      1019003.843       5440    187.317    150.976      2.048   2153.658      286.423  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      2.1       919026.020       3840    239.330    238.272    198.464    283.841       39.267  CUDA_KERNEL  void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x4_nn_align8>(T1::Params)
      1.7       733027.309      25370     28.893      4.512      3.776   2049.786      117.291  CUDA_KERNEL  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      1.6       703028.647       1920    366.161    366.209    357.089    374.303        2.964  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nt                                 
      1.6       689969.951      11760     58.671     38.944     35.328    110.751       32.496  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      1.5       667640.393       1680    397.405    397.425    393.535    402.271        1.321  CUDA_KERNEL  CudaCodeGen::kernel4(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)1>, CudaCodeGen::Tensor<CudaCode…
      1.5       666073.139       1680    396.472    396.417    393.119    401.279        1.268  CUDA_KERNEL  CudaCodeGen::kernel1(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)1>, CudaCodeGen::Tensor<CudaCode…
      1.4       634431.667       1920    330.433    330.273    323.041    340.480        2.510  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_32x6_nt                                          
