Processing [./report3.sqlite] with [/opt/nvidia/nsight-systems/2024.1.1/host-linux-x64/reports/cuda_gpu_sum.py](start=4420000000:end=35390000000)... 

 ** CUDA GPU Summary (Kernels/MemOps) (cuda_gpu_sum):

 Time (%)  Total Time (us)  Instances  Avg (us)  Med (us)  Min (us)  Max (us)   StdDev (us)   Category                                                 Operation                                              
 --------  ---------------  ---------  --------  --------  --------  ---------  -----------  -----------  ----------------------------------------------------------------------------------------------------
     10.2     23284756.859      36864   631.639   758.131   215.174   1053.438      247.982  CUDA_KERNEL  volta_fp16_s884gemm_fp16_128x128_ldg8_f2f_stages_32x1_tn                                            
      7.9     17935962.654       9408  1906.459  1943.829    61.313   2002.678      266.233  CUDA_KERNEL  void at::native::<unnamed>::fused_dropout_kernel_vec<c10::Half, float, unsigned int, (int)1, (int)4…
      6.8     15525522.647      11712  1325.608  1476.488   671.122   8629.131      955.753  CUDA_KERNEL  void cutlass::Kernel2<cutlass_70_tensorop_f16_s884gemm_relu_f16_256x128_nt_align8>(T1::Params)      
      6.7     15286139.821      13824  1105.768  1097.372  1025.181   1521.126       45.369  CUDA_KERNEL  volta_fp16_s884gemm_fp16_64x128_ldg8_f2f_tn                                                         
      6.5     14906723.027      13824  1078.322  1029.370   948.122   1632.905      120.085  CUDA_KERNEL  volta_fp16_s884gemm_fp16_64x128_ldg8_f2f_nn                                                         
      6.4     14477849.779      13824  1047.298   521.837   220.741  28123.664     1328.472  CUDA_KERNEL  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
      6.3     14448131.016      11712  1233.618  1381.312   623.858   9060.599     1028.607  CUDA_KERNEL  void cutlass::Kernel2<cutlass_70_tensorop_f16_s884gemm_relu_f16_128x128_nn_align8>(T1::Params)      
      5.0     11369110.622       9216  1233.628  1232.642  1214.498   1699.566        9.312  CUDA_KERNEL  void <unnamed>::scaled_upper_triang_masked_softmax_warp_forward<c10::Half, c10::Half, float, (int)1…
      3.6      8118444.565      14016   579.227    54.915    53.314   2135.506      749.603  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_ker…
      3.3      7585372.299       4608  1646.131  1644.206  1604.749   1715.953       19.735  CUDA_KERNEL  void <unnamed>::scaled_upper_triang_masked_softmax_warp_backward<c10::Half, c10::Half, float, (int)…
      2.7      6048571.788       4608  1312.624  1295.041  1230.050   2031.129       90.632  CUDA_KERNEL  void at::native::tensor_kernel_scan_outer_dim<long, std::plus<long>>(T1 *, const T1 *, unsigned int…
