
 ** CUDA GPU Summary (Kernels/MemOps) (cuda_gpu_sum):

 Time (%)  Total Time (us)  Instances   Avg (us)    Med (us)   Min (us)    Max (us)   StdDev (us)   Category                                                 Operation                                              
 --------  ---------------  ---------  ----------  ----------  ---------  ----------  -----------  -----------  ----------------------------------------------------------------------------------------------------
     62.4     36481768.542       2852   12791.644   12536.564  10833.074   23035.914     1246.400  CUDA_KERNEL  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
      3.0      1754357.016       1944     902.447     918.956     30.400    1355.257      126.899  CUDA_KERNEL  void at::native::<unnamed>::fused_dropout_kernel_vec<c10::Half, float, unsigned int, (int)1, (int)4…
      2.9      1694600.901         16  105912.556  106313.865   1693.528  209142.082   105336.284  CUDA_KERNEL  ncclKernel_AllReduce_RING_LL_Sum_half(ncclDevComm *, unsigned long, ncclWork *)                     
      2.8      1664477.687       2848     584.437     584.733    574.622     596.157        2.514  CUDA_KERNEL  ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_tn                                                       
      2.6      1490791.484        956    1559.405    1570.312   1532.152    2420.373       34.418  CUDA_KERNEL  void at::native::tensor_kernel_scan_outer_dim<long, std::plus<long>>(T1 *, const T1 *, unsigned int…
      2.0      1149259.780       1904     603.603     603.453    601.533    1032.923        9.865  CUDA_KERNEL  void <unnamed>::scaled_upper_triang_masked_softmax_warp_forward<c10::Half, c10::Half, float, (int)1…
      1.9      1101478.463       3356     328.212     203.999     78.112    2924.402      337.584  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nt                                         
      1.8      1051839.605       3312     317.584     276.942     73.728     511.549      181.958  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn                                         
      1.8      1049819.102       3816     275.110     274.991    259.487     291.198        8.715  CUDA_KERNEL  void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_tn_align8>(T1::Params)
      1.7      1019971.177       2848     358.136     358.142    340.415     369.055        3.409  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_64x128_sliced1x2_ldg8_f2f_stages_64x3_nn                                
      1.6       951808.295       4320     220.326     214.943     74.687    3398.607      334.328  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_tn                                         
      1.4       805737.075        944     853.535     853.404    850.620     857.916        1.227  CUDA_KERNEL  void <unnamed>::scaled_upper_triang_masked_softmax_warp_backward<c10::Half, c10::Half, float, (int)…
      1.3       782369.055       2872     272.413      26.912     23.713     780.413      352.603  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_ker…
      1.3       748364.571       5244     142.709      24.671      1.632    2031.767      223.204  CUDA_KERNEL  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.9       549731.301       2936     187.238     153.968      2.016    2152.885      280.110  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      0.8       451686.553       1888     239.241     238.383    198.719     284.670       38.522  CUDA_KERNEL  void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x4_nn_align8>(T1::Params)
      0.7       391070.785       6668      58.649      38.944     35.360     110.751       32.480  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      0.7       384609.963       4400      87.411      40.832     37.952     259.711       89.791  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      0.6       379866.310        956     397.350     397.311    393.951     401.599        1.482  CUDA_KERNEL  CudaCodeGen::kernel4(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)1>, CudaCodeGen::Tensor<CudaCode…
      0.6       377567.507        952     396.605     396.542    393.982     400.542        1.095  CUDA_KERNEL  CudaCodeGen::kernel1(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)1>, CudaCodeGen::Tensor<CudaCode…
      0.6       369052.038       9056      40.752       4.512      3.840    2049.751      152.482  CUDA_KERNEL  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.6       344898.624        944     365.359     365.439    356.350     376.799        3.197  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nt                                 
      0.5       313698.499        956     328.137     328.126    327.167     329.054        0.311  CUDA_KERNEL  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.5       311484.638        944     329.963     329.886    320.575     338.750        2.359  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_32x6_nt                                          
      0.4       249579.198        944     264.385     265.855    257.342     272.895        4.755  CUDA_KERNEL  void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nt_align8>(T1::Params)
      0.4       249078.777        944     263.855     265.087    256.542     272.351        4.679  CUDA_KERNEL  void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x4_nt_align8>(T1::Params)
      0.3       164061.923        944     173.794     173.791    170.783     177.023        0.882  CUDA_KERNEL  void at::native::<unnamed>::CatArrayBatchedCopy<c10::Half, unsigned int, (int)4, (int)64, (int)64>(…
      0.3       158613.291       3848      41.220      41.216     40.064      43.104        0.387  CUDA_KERNEL  void cuApplyLayerNorm<c10::Half, float, c10::Half>(T3 *, T2 *, T2 *, const T1 *, int, int, T2, cons…
      0.2       143902.104       3776      38.110      34.720     18.944      65.056       17.585  CUDA_KERNEL  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::Half, at::native::func_w…
      0.2       131160.646        956     137.197     137.183    135.263     142.719        0.929  CUDA_KERNEL  void at::native::sbtopk::gatherTopK<float, unsigned int, (int)2, (bool)0>(at::cuda::detail::TensorI…
      0.2       122308.597      11592      10.551       2.624      2.015     178.847       16.417  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::…
      0.2       118178.491         40    2954.462    2952.178   2943.570    2967.985        9.934  CUDA_KERNEL  ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_nn                                         
      0.2       114514.268       1928      59.395      59.295     54.816      65.407        1.713  CUDA_KERNEL  void cuComputePartGradGammaBeta<c10::Half, float, c10::Half, (bool)1>(const T3 *, const T1 *, int, …
      0.2        96400.650       2848      33.849      33.824     33.504      34.400        0.123  CUDA_KERNEL  CudaCodeGen::kernel2(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)3>, CudaCodeGen::Tensor<CudaCode…
      0.2        95439.625       1928      49.502      49.376     48.672      52.448        0.503  CUDA_KERNEL  void cuComputeGradInput<c10::Half, float, c10::Half, (bool)1>(const T3 *, const T1 *, int, int, con…
      0.2        87823.545        996      88.176       3.488      3.391    2119.830      414.290  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      0.1        87573.487         40    2189.337    2189.750   2182.101    2195.735        3.213  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::…
      0.1        77641.240         40    1941.031    1940.679   1935.831    1947.894        2.862  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
      0.1        75020.895        472     158.943     158.863    156.447     162.431        1.075  CUDA_KERNEL  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapp…
      0.1        69528.735         48    1448.515    1147.003    189.311    3905.679     1163.123  CUDA_KERNEL  ncclKernel_AllReduce_TREE_LL_Sum_float(ncclDevComm *, unsigned long, ncclWork *)                    
      0.1        55160.184       3508      15.724       3.392      2.687     948.380       99.573  CUDA_KERNEL  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.1        54920.201        956      57.448      57.408     56.415      59.040        0.343  CUDA_KERNEL  ampere_sgemm_32x32_sliced1x4_tn                                                                     
      0.1        54333.190        160     339.582     391.759     41.120     413.950      120.990  CUDA_KERNEL  void multi_tensor_apply_kernel<TensorListMetadata<(int)4>, AdamFunctor<float, float>, float, float,…
      0.1        54293.051       2856      19.010      16.288      2.272     592.061       32.138  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::Half, c10::Ha…
      0.1        54089.461        472     114.596     114.656    111.104     117.663        1.070  CUDA_KERNEL  CudaCodeGen::kernel5(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)4>, CudaCodeGen::Tensor<CudaCode…
      0.1        54052.413        472     114.518     114.592    112.831     116.992        0.622  CUDA_KERNEL  CudaCodeGen::kernel6(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)3>, CudaCodeGen::Tensor<CudaCode…
      0.1        41058.127       4116       9.975       5.760      1.312     127.487        9.417  MEMORY_OPER  [CUDA memcpy Device-to-Device]                                                                      
      0.1        38219.121       2868      13.326       2.688      2.079      36.063       15.305  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<long>, at::detail::A…
      0.1        37970.767         40     949.269     948.171    943.771     955.932        3.190  CUDA_KERNEL  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo…
      0.1        33349.384          8    4168.673    3310.066    276.415    8471.320     3579.776  CUDA_KERNEL  ncclKernel_AllReduce_TREE_LL_Sum_uint8_t(ncclDevComm *, unsigned long, ncclWork *)                  
      0.1        30194.906        960      31.453      31.456     31.200      31.840        0.105  CUDA_KERNEL  CudaCodeGen::kernel3(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)3>, CudaCodeGen::Tensor<CudaCode…
