
 ** CUDA GPU Summary (Kernels/MemOps) (cuda_gpu_sum):

+----------+-----------------+-----------+----------+----------+----------+-----------+-------------+-------------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (us) | Instances | Avg (us) | Med (us) | Min (us) | Max (us)  | StdDev (us) |  Category   |                                              Operation                                               |
+----------+-----------------+-----------+----------+----------+----------+-----------+-------------+-------------+------------------------------------------------------------------------------------------------------+
|     10.2 |    13600305.902 |     21644 |  628.364 |  692.099 |  209.793 |  1422.508 |     246.737 | CUDA_KERNEL | volta_fp16_s884gemm_fp16_128x128_ldg8_f2f_stages_32x1_tn                                             |
|      7.9 |    10480225.226 |      5525 | 1896.873 | 1929.002 |   61.857 |  2398.355 |     267.267 | CUDA_KERNEL | void at::native::<unnamed>::fused_dropout_kernel_vec<c10::Half, float, unsigned int, (int)1, (int)4… |
|      7.1 |     9432912.831 |      6845 | 1378.073 | 1464.968 |  680.899 |  8569.546 |     967.787 | CUDA_KERNEL | void cutlass::Kernel<cutlass_70_tensorop_f16_s884gemm_relu_f16_256x128_nt_align8>(T1::Params)        |
|      6.8 |     9089742.876 |      8094 | 1123.022 | 1097.991 |  994.692 |  1675.406 |      78.237 | CUDA_KERNEL | volta_fp16_s884gemm_fp16_64x128_ldg8_f2f_tn                                                          |
|      6.4 |     8484555.683 |      6844 | 1239.707 | 1318.950 |  602.946 |  8692.554 |    1004.689 | CUDA_KERNEL | void cutlass::Kernel<cutlass_70_tensorop_f16_s884gemm_relu_f16_128x128_nn_align8>(T1::Params)        |
|      5.9 |     7833764.151 |      8094 |  967.848 |  966.600 |  863.908 |  1482.918 |      76.238 | CUDA_KERNEL | volta_fp16_s884gemm_fp16_64x128_ldg8_f2f_nn                                                          |
|      5.8 |     7746055.471 |      8098 |  956.539 |  457.378 |  293.666 | 11653.166 |    1083.559 | CUDA_KERNEL | ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                 |
|      4.9 |     6555016.763 |      5411 | 1211.424 | 1190.148 | 1168.132 |  1257.387 |      29.940 | CUDA_KERNEL | void <unnamed>::scaled_upper_triang_masked_softmax_warp_forward<c10::Half, c10::Half, float, (int)1… |
|      3.6 |     4732419.834 |      8163 |  579.740 |   54.976 |   53.313 |  2176.403 |     750.497 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_ker… |
|      3.2 |     4258307.743 |      2683 | 1587.144 | 1566.824 | 1534.598 |  1958.760 |      38.927 | CUDA_KERNEL | void <unnamed>::scaled_upper_triang_masked_softmax_warp_backward<c10::Half, c10::Half, float, (int)… |
|      2.6 |     3421344.776 |      1456 | 2349.825 | 1765.263 | 1553.190 | 10612.182 |    2270.478 | CUDA_KERNEL | void cutlass::Kernel<cutlass_70_tensorop_f16_s884gemm_relu_f16_128x128_tn_align8>(T1::Params)        |
|      2.5 |     3340378.090 |      9382 |  356.041 |  428.707 |    1.407 |  3720.030 |     426.695 | CUDA_KERNEL | void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator… |
|      2.3 |     3104532.063 |      8322 |  373.051 |  272.433 |    1.792 |  4151.777 |     551.826 | CUDA_KERNEL | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::… |
|      2.1 |     2852044.032 |      5368 |  531.305 |  710.275 |  215.521 |   883.592 |     301.724 | CUDA_KERNEL | volta_fp16_s884gemm_fp16_128x128_ldg8_f2f_nn                                                         |
|      2.1 |     2786783.070 |     14732 |  189.165 |   28.832 |    2.816 |  3532.125 |     363.287 | CUDA_KERNEL | void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator… |
|      1.8 |     2336940.554 |      2706 |  863.614 |  853.635 |  842.755 |   891.239 |      15.136 | CUDA_KERNEL | CudaCodeGen::kernel4(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)1>, CudaCodeGen::Tensor<CudaCode… |
|      1.8 |     2336936.435 |      2705 |  863.932 |  858.947 |  839.907 |   888.231 |      15.137 | CUDA_KERNEL | CudaCodeGen::kernel1(CudaCodeGen::Tensor<CudaCodeGen::__half, (int)1>, CudaCodeGen::Tensor<CudaCode… |
|      1.7 |     2253099.847 |      2706 |  832.631 |  775.124 |  742.948 |  1197.258 |      86.864 | CUDA_KERNEL | void at::native::tensor_kernel_scan_outer_dim<long, std::plus<long>>(T1 *, const T1 *, unsigned int… |
|      1.7 |     2200606.623 |      2685 |  819.593 |  791.460 |  736.259 |   874.311 |      47.865 | CUDA_KERNEL | volta_fp16_s884gemm_fp16_256x128_ldg8_f2f_nn                                                         |
|      1.5 |     2057332.563 |      2683 |  766.803 |  751.172 |  738.084 |  1203.013 |      24.300 | CUDA_KERNEL | volta_fp16_s884gemm_fp16_64x64_ldg8_f2f_nt                                                           |
|      1.5 |     2048228.017 |      2685 |  762.841 |  746.180 |  677.795 |   801.798 |      34.194 | CUDA_KERNEL | void cutlass::Kernel<cutlass_70_tensorop_f16_s884gemm_relu_f16_128x256_nt_align8>(T1::Params)        |
|      1.5 |     1981350.284 |      2683 |  738.483 |  736.899 |  724.579 |   756.679 |       8.394 | CUDA_KERNEL | volta_fp16_s884gemm_fp16_64x128_ldg8_f2f_nt                                                          |
|      1.4 |     1905345.071 |      8118 |  234.706 |    1.792 |    1.184 |   737.766 |     329.774 | CUDA_KERNEL | void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<long>, at::detail::A… |
|      1.4 |     1863413.425 |     12504 |  149.025 |   64.065 |   52.929 |   510.852 |     166.399 | CUDA_KERNEL | void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::… |
